Feature,Coefficient
Localidad_Puente del Inca,2.0904733123411963e-11
Localidad_Pampa Almirón,2.0901493538577073e-11
Localidad_Itá Ibaté,2.0899769073061318e-11
Localidad_Colonia Segovia,2.0896741018754698e-11
Localidad_Lucas González,2.0892214730458852e-11
Localidad_Cañada Honda,2.088788760792704e-11
Localidad_Loreto,2.087305584182091e-11
Localidad_Palpalá (Est. Gral. Manuel N. Savio),2.0865387727904497e-11
Localidad_General Fernández Oro,2.086361891487703e-11
Localidad_Pampa del Indio,2.0859816360469223e-11
Localidad_El Piquete,2.0852175592905883e-11
Localidad_Avellaneda (Est. Ewald),2.084184391087392e-11
Localidad_Colonia Ayuí,2.0838414725563608e-11
Partido_Bahía Blanca,2.083169800639304e-11
Localidad_El Mollar,2.0831513172351044e-11
Localidad_Villa Angela,2.0829119145237034e-11
Localidad_Pampa del Infierno,2.082901022152956e-11
Localidad_Barrio La Ribera - Barrio APYCAR,2.0828247501714274e-11
Localidad_San Salvador de Jujuy (Est. Jujuy),2.0827361335400554e-11
Partido_José C. Paz,2.0824397501287404e-11
Localidad_Lamarque,2.0809785308552914e-11
Localidad_Puerto Yeruá,2.0796208890356245e-11
Localidad_Puelén,2.0787107331546656e-11
Localidad_Tafí del Valle,2.078643932533153e-11
Localidad_San Carlos de Bariloche,2.0780689600339537e-11
Localidad_Gualeguay,2.0778133838524545e-11
Localidad_Gancedo,2.0774569148677056e-11
Localidad_Estación Mazán,2.076716635255293e-11
Localidad_Capilla Del Rosario,2.0762325830117714e-11
Localidad_Villa Llao Llao,2.0761042029423246e-11
Localidad_Niquivil,2.075534825949798e-11
Localidad_Centenario,2.0731108401952785e-11
Localidad_San José de Jáchal,2.0728847903260794e-11
Localidad_Andalgalá,2.07275501011117e-11
Localidad_Dragones,2.0722596736079738e-11
Localidad_Libertador General San Martín (Est. Ledesma),2.0716470200131213e-11
Localidad_Aldea María Luisa,2.0716271124673237e-11
Localidad_Felipe Yofré,2.0713738113388482e-11
Localidad_Colonia Dora,2.071105691315564e-11
Partido_Rojas,2.0710021438129202e-11
Partido_Tapenagá,2.0699407976071165e-11
Localidad_Charadai,2.0699407976071165e-11
Localidad_Pampa Blanca,2.0692352872604472e-11
Localidad_San Miguel de Tucumán (Est. Tucumán),2.068060655258325e-11
Localidad_Villa Aberastain,2.065459246442106e-11
Partido_Azul,2.065015174713539e-11
Localidad_Barrio 12 de Octubre,2.064581422702635e-11
Partido_Loreto,2.064567708388465e-11
Localidad_Villa San Martín (Est. Loreto),2.064567708388465e-11
Localidad_Chumbicha,2.064456555524742e-11
Localidad_Estación Yeruá,2.063027635626846e-11
Localidad_Maquito,2.0627772306398986e-11
Localidad_Aconquija,2.0626259302169875e-11
Localidad_Federación,2.0626223520519416e-11
Localidad_Oro Verde,2.062538806496742e-11
Localidad_El Naranjo,2.0620571301320735e-11
Localidad_Nueva Escocia,2.06142889045174e-11
Localidad_Villa Mantero,2.0605166753893973e-11
Localidad_General Lucio Victorio Mansilla,2.06000361603569e-11
Localidad_Villa San Agustín,2.0598881717995194e-11
Localidad_La Corita,2.059241706838651e-11
Localidad_Mari Menuco,2.0589041398089403e-11
Localidad_Divisadero,2.0580814964474205e-11
Localidad_Del Campillo,2.0554253150317767e-11
Localidad_Plaza Huincul,2.055159982094293e-11
Localidad_Árraga,2.054566517859195e-11
Localidad_Pagancillo,2.053613828930033e-11
Partido_Guachipas,2.052090561093954e-11
Localidad_Guachipas,2.052090561093954e-11
Localidad_Viale,2.0519949619626825e-11
Localidad_Cipolletti,2.0519227770461817e-11
Localidad_Pozo Hondo,2.0511877458899373e-11
Localidad_Las Lajitas,2.0496483648416742e-11
Localidad_Lomas de Vallejos,2.0489026296046285e-11
Localidad_Barranqueras,2.0484860899007737e-11
Localidad_Miguel Riglos,2.0476472759834125e-11
Localidad_Colonia Popular,2.047159654051653e-11
Localidad_Los Helechos,2.0468141235021145e-11
Localidad_Manantiales,2.046775500163092e-11
Localidad_Santa Anita,2.0457231049974628e-11
Localidad_Simbol,2.0454801547875922e-11
Localidad_Palo Santo,2.044784836666052e-11
Localidad_General San Martín (Est. Villa Alba),2.0435983385814877e-11
Localidad_Colonia Alpina,2.0432620825181486e-11
Localidad_Amaicha del Valle,2.042617714791906e-11
Localidad_El Aguilar,2.041843250579197e-11
Localidad_Humahuaca,2.04131638902757e-11
Localidad_Real Sayana,2.0406265770022965e-11
Localidad_San Gustavo,2.039761514376798e-11
Localidad_Aguaray,2.0396459128266975e-11
Localidad_Aldea San Antonio,2.0392365010999465e-11
Localidad_Monte Comán,2.0389978349032524e-11
Localidad_Embajador Martini,2.0389826449132774e-11
Localidad_Fernández,2.0388307075617383e-11
Localidad_Colonia Campo Villafañe,2.038034510833718e-11
Localidad_Loncopué,2.0377683046593073e-11
Localidad_Capioví,2.03749509478208e-11
Localidad_Riacho Negro,2.036851953296487e-11
Localidad_Colonia Aurora,2.0360104916198882e-11
Localidad_Azara,2.035590811456073e-11
Localidad_Villa Paranacito,2.0353317379442486e-11
Localidad_El Pingo,2.034865297510821e-11
Localidad_La Clotilde,2.034717253697192e-11
Localidad_Gran Guardia,2.0344419453850795e-11
Localidad_General Galarza,2.0344396899168496e-11
Localidad_Colonia Tinco,2.0342850688961674e-11
Localidad_Goudge,2.0337899065647506e-11
Localidad_Bandera,2.0335386498288082e-11
Localidad_La Cocha,2.0334123169097962e-11
Localidad_Cobos,2.0331146142313663e-11
Localidad_Balde,2.0328919439164713e-11
Localidad_Nemesio Parma,2.0328607214291616e-11
Localidad_Concepción de la Sierra,2.032796564851867e-11
Localidad_Vilmer,2.0327189757719825e-11
Localidad_Pajas Blancas,2.032284664552954e-11
Localidad_Estación Tacañitas,2.0314637171246084e-11
Localidad_Pozo del Mortero,2.0308385769378977e-11
Localidad_Urdinarrain,2.029288168779167e-11
Localidad_Quemú Quemú,2.0288723251720022e-11
Localidad_Villa Salavina,2.028871900929248e-11
Localidad_Eduardo Castex,2.0287310989503072e-11
Localidad_San Genaro Norte,2.0285466414825567e-11
Localidad_San Benito,2.0264489249406296e-11
Localidad_Faustino M. Parera,2.0251437157923756e-11
Localidad_Villa Domínguez,2.024788053073082e-11
Localidad_Yerba Buena - Marcos Paz,2.0246911913761005e-11
Localidad_Los Quiroga,2.024043614691038e-11
Localidad_Alto Pencoso,2.0239182076944608e-11
Localidad_Eugenio Bustos,2.0233039153084174e-11
Localidad_San José de Metán,2.0232443503777294e-11
Localidad_General Deheza,2.0217141271184104e-11
Localidad_Villa El Chocón,2.021713929839025e-11
Localidad_José de San Martín,2.0208164262311345e-11
Localidad_Samuhú,2.020304288467944e-11
Localidad_Colonia Elisa,2.020097471267999e-11
Localidad_Las Breñas,2.0196106209598895e-11
Localidad_Santiago del Estero,2.019409941965768e-11
Localidad_Margarita Belén,2.0181647404095406e-11
Localidad_Santa Rosa del Conlara,2.0180655441428092e-11
Localidad_Alderetes,2.0179096782416076e-11
Localidad_Rodríguez Peña,2.017828622926073e-11
Localidad_Hermoso Campo,2.0168867844474098e-11
Localidad_Coronel Juan Solá,2.0165609427137975e-11
Localidad_La Reforma,2.0151095672886094e-11
Localidad_Juan José Castelli,2.0149367426629932e-11
Localidad_Bajada del Agrio,2.0145025633016456e-11
Localidad_Guatraché,2.01443126054942e-11
Localidad_Campo Largo,2.014285996850713e-11
Localidad_Berón de Astrada,2.0139136712449295e-11
Partido_Berón de Astrada,2.0139136712449295e-11
Localidad_Coronel Hilario Lagos (Est. Aguas Buenas),2.0136337466670066e-11
Localidad_Atahona,2.0132926853753226e-11
Localidad_Estanislao del Campo,2.0129537508239052e-11
Localidad_La Caldera,2.0123230708388437e-11
Localidad_Angualasto,2.0121069372206535e-11
Localidad_Jacinto Arauz,2.0119096412582315e-11
Localidad_El Calafate,2.011896649798322e-11
Localidad_Tres Isletas,2.0114804047465055e-11
Localidad_Villa Mariano Moreno - El Colmenar,2.0111224032446038e-11
Localidad_Coronel Mollinedo,2.0109338606342493e-11
Localidad_Bowen,2.0101060204090933e-11
Localidad_Yala,2.009913746784037e-11
Localidad_José Rafael Gómez,2.009461894713406e-11
Localidad_Villa Pehuenia,2.0083036972373905e-11
Localidad_Lules,2.0082087085032716e-11
Localidad_Colonia Elía,2.0076597658186027e-11
Localidad_Angastaco,2.0075199828662853e-11
Localidad_La Consulta,2.006719907941551e-11
Localidad_Villa Don Bosco (Est. Angaco Sud),2.0066995174167604e-11
Localidad_Barrio Cooperativa Los Campamentos,2.005549341070261e-11
Localidad_Pomán,2.005525931901208e-11
Localidad_Salta,2.0054422954091772e-11
Localidad_Videla,2.0039907049010268e-11
Localidad_Villa La Angostura,2.0032888510593454e-11
Localidad_Gobernador Mansilla,2.0028073256553334e-11
Localidad_Herradura,2.0022194141994773e-11
Localidad_La Laguna,2.0018612971915638e-11
Localidad_Colonia Benítez,2.000394657757379e-11
Localidad_Pueblo Liebig's,1.999039313066001e-11
Localidad_Colonia Pastoril,1.9986232762652595e-11
Localidad_Villa Catedral,1.9985570758127277e-11
Localidad_Anillaco,1.9985288173327672e-11
Localidad_Llambi Campbell,1.9983848844127795e-11
Localidad_Santa Rita,1.9982000581557762e-11
Localidad_Alba Posse,1.996471817236733e-11
Localidad_General Ramírez,1.9959003213401584e-11
Localidad_Hocker,1.9958102860577695e-11
Localidad_Tío Pujio,1.9955861363704168e-11
Localidad_Caleufú,1.9944422863663715e-11
Localidad_Villa Los Coihues,1.9944076072743266e-11
Localidad_Chicoana,1.99434859422953e-11
Localidad_Pareditas,1.9936962568040244e-11
Localidad_Monte Maíz,1.9929484227447887e-11
Localidad_Mainqué,1.992776628421722e-11
Localidad_San Antonio de los Cobres,1.9923173394529012e-11
Localidad_Desiderio Tello,1.9914420180026006e-11
Localidad_Antilla,1.9910259875089912e-11
Localidad_Arroyo Aguiar,1.989649840896e-11
Localidad_Diamante,1.9888068290754255e-11
Localidad_Villa Barbosa - Villa Nacusi,1.9884223865675603e-11
Localidad_Fuerte Esperanza,1.9868126188023474e-11
Localidad_Los Blancos,1.9863512312314013e-11
Localidad_Ushuaia,1.985981747553188e-11
Localidad_Allen,1.9847573355786055e-11
Localidad_Rincón de Nogoyá,1.984705950535752e-11
Localidad_Tortuguitas,1.9841072223148105e-11
Localidad_Barda del Medio,1.9839538388374585e-11
Localidad_El Soberbio,1.9830956479035127e-11
Localidad_General Manuel J. Campos,1.9817228474590774e-11
Localidad_Esquel,1.9816425217706092e-11
Localidad_Los Charrúas,1.981514403082388e-11
Localidad_Tabossi,1.9814523169970643e-11
Localidad_Villa Río Hondo,1.9810587178681517e-11
Localidad_Selva,1.9809910034428657e-11
Localidad_Vera (Est. Gobernador Vera),1.978719923023176e-11
Localidad_Agrelo,1.9786818752400744e-11
Localidad_Montecristo,1.9766423189159333e-11
Localidad_Chimbas,1.9764142786567035e-11
Localidad_El Tipal - La Almudena,1.9761408158766946e-11
Localidad_Sachayoj,1.9746642482034788e-11
Localidad_Comodoro Rivadavia,1.974331105462159e-11
Localidad_Fiambalá,1.9742427669071992e-11
Localidad_Pueblo Arrúa (Est. Alcaraz),1.9740093556428888e-11
Localidad_Godoy Cruz,1.9739304701842668e-11
Localidad_Romang,1.9735148405904404e-11
Localidad_La Sarita,1.9734669552093573e-11
Localidad_Barrio Lomas de Tafí,1.971648748671479e-11
Localidad_San Martín Norte,1.9714982622091044e-11
Localidad_Estación Raíces,1.9713432856357734e-11
Localidad_Piedras Blancas,1.9710126654555622e-11
Localidad_Chañar Ladeado,1.9703645502995235e-11
Localidad_Salto Encantado,1.97023193679192e-11
Localidad_La Colonia,1.970203712365215e-11
Localidad_Animaná,1.9700857950190633e-11
Localidad_Río Seco,1.9692484235680327e-11
Partido_Ullum,1.967216583840933e-11
Localidad_Villa Ibáñez,1.967216583840933e-11
Localidad_Dos Hermanas,1.9672125831764583e-11
Localidad_Mojón Grande,1.967110211636631e-11
Localidad_Chepes,1.9664997129673617e-11
Localidad_Pueblo Santa Lucía,1.9664801397094786e-11
Localidad_Carnerillo,1.9661825624730962e-11
Localidad_Tolhuin,1.9661618038883176e-11
Localidad_Bovril,1.965877385360118e-11
Localidad_Viedma,1.965107373370577e-11
Localidad_Taco Ralo,1.9645219802072535e-11
Localidad_Gobernador López,1.963099032710148e-11
Localidad_Barrio Ruta 40,1.9627762779986764e-11
Localidad_Graneros,1.9627694018993147e-11
Localidad_Contralmirante Cordero,1.9615624944789084e-11
Localidad_Los Laureles,1.9614116573851876e-11
Localidad_Corrientes,1.9614019456333615e-11
Localidad_Diadema Argentina,1.9611303968379387e-11
Localidad_Villa San Martín,1.9609841260557378e-11
Localidad_Colonia Avigdor,1.9603608706025043e-11
Localidad_Corralito,1.9601627219829026e-11
Localidad_Choele Choel,1.9592698704868224e-11
Localidad_Roldán,1.9591750393959216e-11
Localidad_Arroyo Seco,1.9586316097040984e-11
Localidad_Junín de los Andes,1.9584603508729405e-11
Partido_Huiliches,1.9584603508729405e-11
Localidad_Cerro Policía,1.957973885854444e-11
Localidad_Resistencia,1.957089532240852e-11
Localidad_El Manantial,1.9570246962088242e-11
Localidad_Quines,1.9567136524990507e-11
Localidad_Gobernador Igr. Valentín Virasoro,1.9559970267943385e-11
Localidad_San Jaime de la Frontera,1.953859691757823e-11
Localidad_Colonia Alicia,1.953680352104048e-11
Localidad_Anchorena,1.9525128652295148e-11
Partido_Tilcara,1.952179959293197e-11
Localidad_Real del Padre,1.952126414421718e-11
Localidad_Villa Krause,1.9508117190765673e-11
Localidad_Villa Gobernador Gálvez,1.950444603312603e-11
Localidad_Alijilán,1.9503262367672728e-11
Localidad_El Quebrachal,1.950030858256786e-11
Localidad_Villa Hipodromo,1.949653265670332e-11
Localidad_Villa Regina,1.9489874019336604e-11
Localidad_Perico,1.9480657183247833e-11
Localidad_Sauce de Luna,1.948045930521281e-11
Localidad_Catriel,1.9479324370417686e-11
Localidad_Federal,1.9478010843424105e-11
Localidad_Barrio Las Tunas,1.947666385448557e-11
Localidad_Tupungato,1.9474965167234816e-11
Localidad_La Dormida,1.9466209460892953e-11
Localidad_Mendoza,1.946578293949662e-11
Localidad_Ingeniero Luiggi,1.9460849748316116e-11
Localidad_Atocha,1.9459371120240843e-11
Localidad_Campo Durán,1.9458953532120357e-11
Localidad_La Clarita,1.9450999967295573e-11
Localidad_Cacheuta,1.9450100998199662e-11
Localidad_Villa Ana,1.944938783581871e-11
Localidad_Posadas,1.944592742350603e-11
Localidad_Monterrico,1.9439562177659482e-11
Localidad_Villa Paula Albarracin,1.9433982101428608e-11
Localidad_Barreal,1.94248567474613e-11
Localidad_Río Primero,1.941159489642857e-11
Partido_Conesa,1.940984913914477e-11
Localidad_Punta del Médano,1.9402588904124772e-11
Localidad_Alberdi,1.9391380777006643e-11
Localidad_Calilegua,1.93824455137342e-11
Localidad_Yuto,1.9378306989663106e-11
Localidad_San Martín II,1.9376592992259192e-11
Partido_Escalante,1.9376083874676974e-11
Localidad_Intendente Alvear,1.9355489013845467e-11
Localidad_Ingeniero Luis A. Huergo,1.9353500635961462e-11
Localidad_Telsen,1.935313640936161e-11
Localidad_Cachi,1.9353110161286527e-11
Localidad_Aimogasta,1.9350346459361424e-11
Localidad_Puerto General San Martín,1.9346223498124866e-11
Localidad_Arroyo Barú,1.9331533777486415e-11
Localidad_Colonia Santa Rosa,1.9328520779781455e-11
Localidad_Villa Lago Meliquina,1.9323394873692783e-11
Localidad_Washington,1.9319976899549045e-11
Localidad_Marcelino Escalada,1.9314923478061656e-11
Localidad_Comandante Luis Piedrabuena,1.930635323791296e-11
Localidad_Pozo del Molle,1.9301637480423313e-11
Localidad_Neuquén,1.9300484886407994e-11
Localidad_Rufino,1.9289637772981764e-11
Localidad_Larroque,1.9289292059399498e-11
Localidad_Isla Verde,1.9281754377798713e-11
Localidad_El Rabón,1.92800186552457e-11
Localidad_San Antonio de Obligado,1.926600588602114e-11
Localidad_Alto Río Senguer,1.9261808432252406e-11
Localidad_San Guillermo,1.9260051938193295e-11
Localidad_Vértiz,1.9254513075625565e-11
Localidad_Osvaldo Magnasco,1.925009205462982e-11
Localidad_Telén,1.9245058480353028e-11
Localidad_Río Mayo,1.9241990478597786e-11
Localidad_Conscripto Bernardi,1.9241415935252663e-11
Localidad_Campamento Vespucio,1.9241338457870157e-11
Localidad_Ingeniero Jacobacci,1.9241073046348854e-11
Localidad_Strobel,1.9238547055245035e-11
Localidad_Fraga,1.9235475053217293e-11
Localidad_San Joaquín,1.922925767531361e-11
Localidad_Charata,1.9215636106444174e-11
Localidad_Catriló,1.9213600732183383e-11
Localidad_Pichanal,1.9212727645513508e-11
Localidad_Rincón de los Sauces,1.9209115788111328e-11
Localidad_Villa Urquiza,1.920845020955571e-11
Localidad_Bengolea,1.9207972845053714e-11
Localidad_Goya,1.9207648838267376e-11
Localidad_Alicia,1.9206982000114465e-11
Localidad_Río Segundo,1.9206081698069093e-11
Localidad_Camarones,1.9198845141228673e-11
Localidad_Sierra Grande,1.9198694836936353e-11
Localidad_Villa Manzano,1.9196696256905533e-11
Localidad_Villa Yacanto,1.91964941671165e-11
Localidad_Calchaquí,1.9196022090124065e-11
Localidad_Casas,1.9193419246883996e-11
Localidad_Buena Vista,1.9188460269234433e-11
Localidad_Estancia Vieja,1.9187362075082612e-11
Localidad_San Francisco del Chañar,1.9182065246094192e-11
Localidad_Manfredi,1.9180463053847155e-11
Localidad_Pampayasta Sur,1.9166944789967854e-11
Localidad_Agua de Oro,1.9164245275155898e-11
Localidad_Epuyén,1.915953213300787e-11
Localidad_Guardia Mitre,1.915693793574803e-11
Localidad_Luján de Cuyo,1.9156682135560364e-11
Localidad_Dalmacio Vélez,1.9150240711566886e-11
Localidad_San Basilio,1.914501073534358e-11
Localidad_Tilisarao,1.914356949502143e-11
Localidad_San José de Feliciano,1.9143099461006238e-11
Localidad_Corral de Bustos,1.914095727898937e-11
Localidad_Providencia,1.91395086624463e-11
Localidad_Rafael García,1.9136178729274787e-11
Localidad_Caleta Olivia,1.9134093635980548e-11
Localidad_Los Berros,1.913210846042427e-11
Localidad_Potrerillos,1.912608701716918e-11
Localidad_Molinos,1.9122016960619258e-11
Localidad_San Martín de las Escobas,1.912018025934375e-11
Localidad_Ubajay,1.9116698889655087e-11
Localidad_La Para,1.9115747147938908e-11
Localidad_El Galpón,1.911348003669551e-11
Localidad_General Pizarro,1.9112890579473352e-11
Localidad_Laguna Brava,1.9108544858318168e-11
Localidad_Las Garcitas,1.9107301153056578e-11
Localidad_Sumampa,1.9099397239199865e-11
Localidad_Río Cuarto,1.9090971850707048e-11
Localidad_Misión El Cruce - El Milagro - El Jardín de San Martín,1.9090035853045875e-11
Localidad_La Toma,1.907855375303166e-11
Localidad_Soldini,1.9077518307483916e-11
Localidad_Villa Tulumaya,1.9075083457623847e-11
Localidad_San Antonio de Litín,1.9070085988952644e-11
Localidad_Bialet Massé,1.9069427723075913e-11
Localidad_López (Est. San Martín de Tours),1.9068550375243627e-11
Localidad_La Verde,1.9064089723766633e-11
Localidad_Estación Clucellas,1.9058262511145866e-11
Localidad_Elena,1.9056782744672878e-11
Localidad_Guadalupe Norte,1.9055567751758213e-11
Localidad_San Hilario,1.9052707343856467e-11
Localidad_Piquillín,1.9051703878338527e-11
Localidad_Guaraní,1.9049405236158815e-11
Localidad_Colonia Rosa,1.9030573680208673e-11
Partido_Sauce,1.9026865479205744e-11
Localidad_Sauce,1.9026865479205744e-11
Localidad_Carmen,1.9021662495076207e-11
Localidad_El Sauzalito,1.9019952294511767e-11
Localidad_Pujato,1.9018401069213194e-11
Localidad_Isla de Cañas,1.90080478709446e-11
Localidad_El Jardín,1.9007040646108426e-11
Localidad_Maco,1.90050243904959e-11
Localidad_Apóstoles,1.9004339402369465e-11
Localidad_Las Arrias,1.9002321372380893e-11
Localidad_Pueblo Uranga,1.8998636666830032e-11
Localidad_Aluminé,1.899749561989784e-11
Localidad_El Tunal,1.899676214072026e-11
Localidad_Villa Olivari,1.8991963906754666e-11
Localidad_Los Amores,1.8991091991868644e-11
Localidad_Salto Grande,1.898937597782536e-11
Localidad_La Francia,1.8984927398266555e-11
Localidad_Padre Lozano,1.89720766687944e-11
Localidad_Puerto San Julián,1.8968792651622362e-11
Partido_Magallanes,1.8968792651622362e-11
Localidad_Taco Pozo,1.8968718343767897e-11
Localidad_Logroño,1.8965591371133405e-11
Localidad_Fortín Cabo 1º Lugones,1.895245326647308e-11
Localidad_Chabás,1.8940672290529133e-11
Localidad_Barrio Mutual San Martín,1.8940262647681987e-11
Localidad_Fracrán,1.8935548365916204e-11
Localidad_Ranchillos,1.8926906624601373e-11
Localidad_Hernando,1.891433791521124e-11
Localidad_Itacaruaré,1.8913562072723293e-11
Localidad_Arocena,1.8910523329998455e-11
Localidad_Dolavon,1.8898801738733172e-11
Localidad_Colonia Belgrano,1.8898798442572926e-11
Localidad_Los Campamentos,1.8891830235763088e-11
Localidad_Colonia Libertad,1.8887290521137523e-11
Localidad_Volcán,1.8884934215861507e-11
Localidad_San Salvador,1.8882381482195498e-11
Localidad_El Fuerte,1.887972707067435e-11
Localidad_Santa Victoria Este,1.8874209071272278e-11
Localidad_Pico Truncado,1.887303162287642e-11
Localidad_Los Frentones,1.887029069379318e-11
Localidad_Puerto Iguazú,1.8863517985996897e-11
Localidad_Basail,1.8861231817466843e-11
Localidad_Maciá,1.8860050048728405e-11
Localidad_Bombal,1.8858398174170778e-11
Localidad_Quimilí,1.8857748024806364e-11
Localidad_Miguel Cané,1.8857110641755792e-11
Localidad_Los Menucos,1.884862487212257e-11
Partido_Salavina,1.8845835152266798e-11
Localidad_Playa Unión,1.8840890331162294e-11
Localidad_Ballesteros,1.8838762022935504e-11
Localidad_Gan Gan,1.8835433095965798e-11
Localidad_Rada Tilly,1.8832441067403486e-11
Localidad_Paso de los Libres,1.8828170383073518e-11
Partido_Antofagasta de la Sierra,1.8827248630131675e-11
Localidad_Antofagasta de la Sierra,1.8827248630131675e-11
Localidad_Quinto Cuartel,1.8823095962395852e-11
Localidad_San Antonio Oeste,1.8808665421788906e-11
Localidad_Paso Viejo,1.8802618517257842e-11
Localidad_Laguna Limpia,1.8799849696302034e-11
Localidad_Santa Magdalena (Est. Jovita),1.878693830166934e-11
Localidad_Las Compuertas,1.8778455311242815e-11
Localidad_Labordeboy,1.877449400999803e-11
Localidad_Colonia Aborigen,1.8770006650825522e-11
Localidad_San Luis,1.876119577344252e-11
Localidad_Pituil,1.874879124843707e-11
Localidad_Gobernador Crespo,1.8748029036539934e-11
Localidad_Los Hornillos,1.874484702142079e-11
Localidad_Nuestra Señora del Rosario de Caá Catí,1.8743474433759913e-11
Localidad_Pumahuasi,1.873816963040512e-11
Localidad_Grutly,1.872620540017322e-11
Localidad_Casilda,1.8721611919902196e-11
Localidad_Tunuyán,1.8719413344667312e-11
Localidad_Machagai,1.8714584032806832e-11
Localidad_Villa Burruyacú,1.871305875664646e-11
Localidad_Los Conquistadores,1.8712689576829948e-11
Localidad_Monteagudo,1.8710437522965277e-11
Localidad_Astica,1.8709861629275095e-11
Localidad_La Carbonada,1.870843969054411e-11
Localidad_Costasacate,1.8705016739079387e-11
Localidad_Monigotes,1.8698022909079774e-11
Localidad_Cordón del Plata,1.8696880350144047e-11
Localidad_Santa Rosa de Río Primero,1.8690137195688083e-11
Localidad_San Jerónimo Sud,1.8689294807819124e-11
Localidad_Uspallata,1.868845542702164e-11
Localidad_Famatina,1.86874279777602e-11
Localidad_Las Leñas,1.868265859231576e-11
Localidad_Olaeta,1.867798210613089e-11
Localidad_Rodeo del Medio,1.867391206205585e-11
Localidad_Oncativo,1.866848962724755e-11
Localidad_Concepción del Bermejo,1.8668400833448243e-11
Localidad_Vila,1.866658202277015e-11
Localidad_Los Sauces,1.8666362191415076e-11
Localidad_Jardín América,1.866089744170407e-11
Localidad_Idiazabal,1.8657672401012143e-11
Localidad_General Pico,1.8655208168002347e-11
Localidad_28 de Noviembre,1.8651502693456038e-11
Localidad_Ceres,1.865057056356727e-11
Localidad_El Fortín,1.864495384461861e-11
Localidad_Calchín,1.8638130958363925e-11
Localidad_Ingeniero Giagnoni,1.863652755822956e-11
Localidad_San Antonio de Arredondo,1.86349711387642e-11
Localidad_Plottier,1.863130544963568e-11
Localidad_Parada Pucheta,1.8601456908475793e-11
Localidad_El Tabacal,1.8598700695594625e-11
Localidad_Carreras,1.8598448293781626e-11
Localidad_Rosales,1.858419951571052e-11
Localidad_Monte Caseros,1.8579238349386998e-11
Localidad_General Lagos,1.8578434276507906e-11
Localidad_General José de San Martín,1.856729785030681e-11
Partido_San Luis del Palmar,1.8566475993068978e-11
Localidad_San Luis del Palmar,1.8566475993068978e-11
Localidad_Zenón Pereyra,1.8559537998329583e-11
Localidad_Chapanay,1.8554959637290646e-11
Localidad_La Reducción,1.8548283603770155e-11
Localidad_Rama Caída,1.8547314961721035e-11
Localidad_Santa Clara de Saguier,1.8542141196045834e-11
Localidad_Las Perlas,1.8537365297237578e-11
Localidad_Deán Funes,1.8536562679327384e-11
Localidad_Basavilbaso,1.8535185279283417e-11
Localidad_Villa Atuel,1.853372241153192e-11
Localidad_Ugarteche,1.8531798667906e-11
Localidad_Barrio Mosconi,1.852990531384229e-11
Localidad_Tala Cañada,1.8526440173022994e-11
Localidad_Santa Clara de Buena Vista,1.852121461496834e-11
Localidad_Barrio Perdriel IV,1.8519874716414882e-11
Localidad_Angel Gallardo,1.8516343466528563e-11
Localidad_Berna,1.8507844204123388e-11
Localidad_Saturnino María Laspiur,1.8503522900565186e-11
Localidad_Bell Ville,1.8503051839617856e-11
Localidad_Beravebú,1.849397966608116e-11
Localidad_Oliveros,1.8482682652797537e-11
Partido_Atamisqui,1.847977601066233e-11
Localidad_Subteniente Perín,1.8476805004943756e-11
Localidad_Toledo,1.846391593810625e-11
Localidad_Tolar Grande,1.8456021192896254e-11
Localidad_La Tordilla,1.845561917519357e-11
Localidad_Cervantes,1.8452127601447788e-11
Localidad_Zavalla,1.845144646561909e-11
Localidad_La Serranita,1.843505237774768e-11
Localidad_Villa del Dique,1.84340309547057e-11
Localidad_Monte Flores,1.8433970307557254e-11
Localidad_Campichuelo,1.8433438109330063e-11
Localidad_Colonia Juliá y Echarren,1.843087141178726e-11
Localidad_Oasis,1.842992964062846e-11
Localidad_Villa Ocampo,1.842574639610601e-11
Localidad_Estación Taboada,1.8416016230837678e-11
Localidad_Chacharramendi,1.841421468124547e-11
Localidad_Seclantás,1.8404692559001404e-11
Localidad_Montecaseros,1.8399152676704385e-11
Localidad_Cafferata,1.8393342735258016e-11
Localidad_Bella Italia,1.8386991463012938e-11
Localidad_Sancti Spiritu,1.8386495942373323e-11
Localidad_Hersilia,1.838293623756057e-11
Localidad_El Carrizal,1.8362343698398162e-11
Localidad_Eldorado,1.8360004180291744e-11
Localidad_Colonias Unidas,1.8346859338409265e-11
Localidad_Tres Lagunas,1.834515682340766e-11
Localidad_Álvarez,1.8342314113080756e-11
Localidad_Villa Rumipal,1.8337331921544626e-11
Localidad_Puerto Deseado,1.833633428243229e-11
Localidad_El Trapiche,1.8331246834894493e-11
Localidad_General Vedia,1.8327269962131433e-11
Localidad_Gaona,1.832425892157305e-11
Localidad_Concarán,1.8320858659826163e-11
Localidad_Puerto Rico,1.8316598829975154e-11
Localidad_Aldea Valle María,1.8312711334232563e-11
Localidad_Cazadores Correntinos,1.8312601197519423e-11
Localidad_Chajarí,1.8304186729597156e-11
Localidad_Saladas,1.8303917639774864e-11
Localidad_Cayastá,1.8296338831002623e-11
Localidad_Luyaba,1.829441159622893e-11
Localidad_Puerto Pirámide,1.8287793394113642e-11
Localidad_Ataliva Roca,1.828348976271732e-11
Localidad_Fontana,1.828029073419406e-11
Localidad_Godoy,1.8267980871812764e-11
