Provincia,Partido,Localidad,Poblacion,ADSL,Cablemodem,Dial Up,Fibra optica,Satelital,Wireless,Telefonia Fija,3G,4G,Link,Latitud,Longitud
MENDOZA,San Rafael,Goudge,2126,--,SI,--,--,--,SI,SI,SI,SI,50105100,-34.68032285,-68.13584229
MENDOZA,San Rafael,Jaime Prats,419,--,--,--,--,--,SI,SI,--,--,50105110,-34.91468312,-67.81914701
MENDOZA,San Rafael,La Llave Nueva,499,--,--,--,--,--,--,SI,--,--,50105120,-34.64492975,-68.01477047
MENDOZA,San Rafael,Las Malvinas,232,--,--,--,--,--,SI,SI,--,--,50105130,-34.838415,-68.25393622
MENDOZA,San Rafael,Los Reyunos,18,--,--,--,--,--,--,--,--,SI,50105140,-34.60992888,-68.62054308
MENDOZA,San Rafael,Monte Comán,3529,--,--,--,SI,--,SI,SI,SI,SI,50105150,-34.59718099,-67.88428991
MENDOZA,San Rafael,Pobre Diablo,526,--,--,--,--,--,--,--,SI,SI,50105160,-34.67035879,-68.35918456
MENDOZA,San Rafael,Punta del Agua,382,--,--,--,SI,--,--,--,--,--,50105170,-35.53016557,-68.0825093
MENDOZA,San Rafael,Rama Caída,850,--,--,--,--,--,SI,SI,SI,SI,50105180,-34.70437603,-68.3708631
MENDOZA,San Rafael,Real del Padre,3635,--,--,--,--,--,SI,SI,SI,SI,50105190,-34.84331498,-67.76742037
MENDOZA,San Rafael,Salto de Las Rosas,1343,--,--,SI,--,--,SI,SI,SI,SI,50105200,-34.72695828,-68.23290316
MENDOZA,San Rafael,San Rafael,118009,SI,SI,SI,SI,--,SI,SI,SI,SI,50105210,-34.63561042,-68.33109201
MENDOZA,San Rafael,Villa Atuel,3311,--,--,--,--,--,SI,SI,SI,SI,50105230,-34.8345022,-67.92579059
MENDOZA,San Rafael,Villa Atuel Norte,271,--,--,--,--,--,--,SI,SI,SI,50105240,-34.76059983,-68.0374059
MENDOZA,Santa Rosa,Barrio 12 de Octubre,177,--,--,--,SI,--,--,--,--,SI,50112010,-33.19120154,-68.28096244
MENDOZA,Santa Rosa,Barrio María Auxiliadora,94,--,--,--,--,--,--,--,SI,SI,50112020,-33.24251362,-68.18267583
MENDOZA,Santa Rosa,Barrio Molina Cabrera,239,--,--,--,--,--,--,--,--,--,50112030,-33.12971196,-68.20378786
MENDOZA,Santa Rosa,La Dormida,2270,--,--,--,SI,--,SI,SI,SI,SI,50112040,-33.34992436,-67.91604606
MENDOZA,Santa Rosa,Las Catitas,3621,--,--,--,--,--,SI,SI,SI,SI,50112050,-33.30010588,-68.05321824
MENDOZA,Santa Rosa,Santa Rosa,2509,--,--,--,SI,--,SI,SI,--,--,50112060,-33.25442279,-68.15674388
MENDOZA,Tunuyán,Barrio San Cayetano,161,--,--,--,--,--,--,--,--,--,50119010,-33.63391359,-69.18790239
MENDOZA,Tunuyán,Campo Los Andes,538,--,SI,--,--,--,--,--,--,--,50119020,-33.70707874,-69.18263314
MENDOZA,Tunuyán,Colonia Las Rosas,2169,--,--,--,--,--,SI,SI,SI,SI,50119030,-33.61293647,-69.11264854
MENDOZA,Tunuyán,El Manzano,26,--,--,--,--,--,--,--,SI,SI,50119040,-33.60057419,-69.33508786
MENDOZA,Tunuyán,Los Sauces,661,--,SI,--,SI,--,--,SI,SI,SI,50119050,-33.59521017,-69.18402148
MENDOZA,Tunuyán,Tunuyán,28859,SI,SI,SI,SI,--,SI,SI,SI,SI,50119060,-33.57755497,-69.02537594
MENDOZA,Tunuyán,Vista Flores,4358,--,--,--,--,--,SI,SI,SI,SI,50119070,-33.65135546,-69.16469227
MENDOZA,Tupungato,Barrio Belgrano Norte,1392,--,--,--,--,--,--,--,--,--,50126010,-33.33010328,-69.13595136
MENDOZA,Tupungato,Cordón del Plata,1713,--,--,--,--,--,SI,SI,SI,SI,50126020,-33.46894913,-69.13994518
MENDOZA,Tupungato,El Peral,541,--,--,--,--,--,--,--,--,--,50126030,-33.37065507,-69.19234871
MISIONES,Cainguás,Aristóbulo del Valle,12375,SI,SI,--,SI,SI,--,SI,SI,SI,54014010,-27.0952902,-54.89490546
MISIONES,Cainguás,Campo Grande,6547,SI,--,--,SI,SI,SI,SI,SI,SI,54014020,-27.20626813,-54.9790955
MISIONES,Cainguás,Dos de Mayo Núcleo I,6504,--,--,--,SI,--,--,SI,--,--,54014030,-27.02053933,-54.6877327
MISIONES,Cainguás,Dos de Mayo Núcleo II,0,--,--,--,--,--,--,--,--,--,54014030,-27.02911957,-54.6647616
MISIONES,Cainguás,Dos de Mayo Núcleo III,739,--,--,--,--,--,SI,--,--,--,54014050,-27.00657685,-54.61235362
MISIONES,Cainguás,Kilómetro 17,439,--,--,--,--,--,--,--,--,--,54014055,-27.31052609,-54.90305556
MISIONES,Cainguás,Nucleo I,0,--,--,--,--,--,--,--,--,--,54014055,-26.98089431,-54.70307749
MISIONES,Cainguás,Nucleo Ii,0,--,--,--,--,--,--,--,--,SI,54014055,-27.02345029,-54.67882564
MISIONES,Cainguás,Pueblo Illia,348,--,--,--,--,--,SI,--,--,--,54014070,-27.14851534,-54.56249401
MISIONES,Cainguás,Salto Encantado,3543,--,SI,--,--,SI,SI,SI,--,SI,54014080,-27.08227979,-54.83348561
MISIONES,Candelaria,Barrio del Lago,69,--,--,--,SI,--,--,--,--,--,54021005,-27.46360339,-55.8005801
MISIONES,Candelaria,Bonpland,1842,SI,--,--,--,--,--,SI,--,SI,54021010,-27.48206969,-55.47742008
MISIONES,Candelaria,Candelaria,13777,SI,SI,--,--,SI,--,SI,SI,SI,54021020,-27.45916535,-55.74308441
MISIONES,Candelaria,Cerro Corá,684,--,--,--,--,--,--,--,--,SI,54021030,-27.50860997,-55.60386214
MISIONES,Candelaria,Loreto,309,--,--,--,--,--,--,--,--,--,54021040,-27.32960123,-55.522809
MISIONES,Candelaria,Mártires,530,--,--,--,--,--,SI,--,SI,SI,54021050,-27.41886476,-55.37779366
MISIONES,Candelaria,Profundidad,385,--,--,--,--,--,SI,--,--,--,54021060,-27.55851981,-55.70344741
MISIONES,Candelaria,Puerto Santa Ana,53,--,--,--,--,--,--,--,--,--,54021070,-27.33307988,-55.58643478
MISIONES,Candelaria,Santa Ana,4985,SI,--,--,--,--,--,SI,SI,SI,54021080,-27.36712128,-55.58055686
MISIONES,Capital,Barrio Nuevo Garupa,375,--,--,--,--,--,--,--,--,--,54028005,-27.43210091,-55.82613855
MISIONES,Capital,Garupá,13595,SI,SI,--,SI,--,SI,SI,SI,SI,54028010,-27.47881285,-55.82244118
MISIONES,Capital,Nemesio Parma,960,--,--,--,--,--,SI,--,SI,SI,54028020,-27.36700366,-55.99822085
MISIONES,Capital,Posadas,275028,SI,SI,--,SI,SI,SI,SI,SI,SI,54028030,-27.36621704,-55.8940021
MISIONES,Capital,Posadas (Extensión),0,--,--,--,--,--,--,--,SI,SI,54028040,-27.4264,-55.8814
MISIONES,Concepción,Barra Concepción,39,--,--,--,--,--,--,--,--,--,54035010,-28.1109522,-55.58200481
MISIONES,Concepción,Concepción de la Sierra,6332,--,SI,--,SI,SI,SI,SI,SI,SI,54035020,-27.98131556,-55.52093431
MISIONES,Concepción,La Corita,279,--,SI,--,--,--,--,--,--,SI,54035030,-27.88841156,-55.3552997
MISIONES,Concepción,Santa María,199,--,--,--,--,--,--,--,--,--,54035040,-27.92928526,-55.41205665
MISIONES,Eldorado,9 de Julio,339,--,--,--,--,--,--,SI,--,--,54042040,-26.43028102,-54.46646669
MISIONES,Eldorado,9 de Julio Kilómetro 20,1528,--,--,--,--,--,--,--,--,SI,54042050,-26.41453331,-54.49761162
MISIONES,Eldorado,Colonia Victoria,1461,SI,--,--,--,--,--,SI,--,--,54042010,-26.32988877,-54.62155723
MISIONES,Eldorado,Eldorado,57323,SI,--,--,--,SI,SI,SI,SI,SI,54042020,-26.40862117,-54.62384281
MISIONES,Eldorado,María Magdalena,2525,--,--,--,--,--,--,SI,--,SI,54042030,-26.23809244,-54.60180961
SALTA,Orán,Hipólito Yrigoyen,10196,SI,SI,--,SI,SI,SI,SI,SI,SI,66126040,-23.23827025,-64.27181254
SALTA,Orán,La Misión,0,--,--,--,--,--,--,--,--,--,66126010,-23.3154629,-64.40770921
SALTA,Orán,Pichanal,22439,SI,SI,--,SI,SI,--,SI,SI,SI,66126060,-23.31338965,-64.21975184
SALTA,Orán,San Ramón de la Nueva Orán,76070,SI,--,--,SI,SI,--,SI,SI,SI,66126070,-23.12981389,-64.31858847
SALTA,Orán,Urundel,2920,--,--,--,SI,SI,SI,SI,SI,SI,66126080,-23.55163147,-64.3965188
SALTA,Rivadavia,Alto de la Sierra,450,--,--,--,SI,--,SI,--,--,--,66133010,-22.68937729,-62.45277564
SALTA,Rivadavia,Capitán Juan Pagé,213,--,--,--,--,--,SI,--,--,--,66133020,-23.70848767,-62.38179494
SALTA,Rivadavia,Coronel Juan Solá,4714,SI,--,--,SI,SI,SI,SI,SI,SI,66133030,-23.48364321,-62.89131087
SALTA,Rivadavia,Hito 1,62,--,--,--,--,--,--,--,--,--,66133035,-21.99971097,-62.82373828
SALTA,Rivadavia,La Unión,2353,--,--,--,--,--,--,--,--,SI,66133040,-23.9462047,-63.11197274
SALTA,Rivadavia,Los Blancos,1073,--,--,--,--,--,SI,--,--,SI,66133050,-23.63014781,-62.5972373
SALTA,Rivadavia,Pluma de Pato,529,--,--,--,--,--,SI,--,--,SI,66133060,-23.38084263,-63.09805565
SALTA,Rivadavia,Rivadavia,2155,--,--,--,SI,SI,--,--,--,SI,66133070,-24.19284793,-62.88558462
SALTA,Rivadavia,Santa María,587,--,--,--,--,--,--,--,--,--,66133080,-22.13949753,-62.83832459
SALTA,Rivadavia,Santa Rosa,432,--,--,--,--,--,--,--,--,--,66133090,-24.07637659,-63.12367737
SALTA,San Carlos,El Barrial,437,--,--,--,--,--,--,--,--,--,66154030,-25.91191896,-65.95096428
SALTA,Rivadavia,Santa Victoria Este,1809,SI,--,--,SI,SI,SI,SI,--,SI,66133100,-22.27729033,-62.70437195
SALTA,Rosario de la Frontera,Antilla,542,--,--,--,SI,SI,--,--,--,SI,66140010,-26.13674744,-64.60799552
SALTA,Rosario de la Frontera,Copo Quile,487,--,--,--,SI,--,--,--,--,SI,66140020,-26.02802569,-64.68319146
SALTA,Rosario de la Frontera,El Naranjo,161,--,--,--,SI,SI,--,--,SI,SI,66140030,-25.73760925,-65.01978879
SALTA,Rosario de la Frontera,El Potrero,462,--,--,--,SI,SI,--,--,--,--,66140040,-26.06389523,-64.65683142
SALTA,Rosario de la Frontera,Rosario de la Frontera,24140,SI,SI,--,SI,SI,SI,SI,SI,SI,66140050,-25.80889718,-64.98406182
SALTA,Rosario de la Frontera,San Felipe,80,--,--,--,--,--,--,--,--,--,66140060,-25.72311251,-64.82606267
SALTA,Rosario de Lerma,Campo Quijano,8929,SI,--,--,SI,SI,SI,SI,SI,SI,66147010,-24.90956039,-65.63950503
SALTA,Rosario de Lerma,La Merced del Encón,1031,--,--,--,SI,--,SI,--,SI,SI,66147015,-24.87096461,-65.56076047
SALTA,Rosario de Lerma,La Silleta,1402,SI,--,--,SI,SI,SI,SI,--,--,66147020,-24.87846433,-65.5901795
SALTA,Rosario de Lerma,Rosario de Lerma,20795,SI,SI,--,SI,SI,SI,SI,SI,SI,66147030,-24.97800055,-65.58043162
SALTA,San Carlos,Angastaco,823,--,--,--,SI,--,SI,--,--,SI,66154010,-25.68373201,-66.16300846
SALTA,San Carlos,Animaná,1276,--,--,--,--,SI,SI,SI,--,SI,66154020,-25.92506954,-65.96348864
SANTA FE,9 de Julio,Logroño,630,SI,--,--,--,--,SI,SI,SI,SI,82077040,-29.50428128,-61.69673278
SANTA FE,9 de Julio,Montefiore,146,--,--,--,--,SI,SI,SI,--,--,82077050,-29.66786982,-61.86710829
SANTA FE,9 de Julio,Pozo Borrado,980,--,--,--,--,--,SI,SI,--,SI,82077060,-28.9399423,-61.70559997
SANTA FE,9 de Julio,San Bernardo,228,--,--,--,--,--,SI,SI,--,--,82077065,-28.63003428,-61.50692199
SANTA FE,9 de Julio,Santa Margarita,993,--,--,--,--,SI,SI,SI,--,SI,82077070,-28.31495491,-61.55032994
SANTA FE,9 de Julio,Tostado,14582,SI,SI,--,--,SI,SI,SI,SI,SI,82077080,-29.23447325,-61.77198242
SANTA FE,9 de Julio,Villa Minetti,4876,--,--,--,--,SI,SI,SI,SI,SI,82077090,-28.62470954,-61.62798599
SANTA FE,Belgrano,Armstrong,11181,SI,--,--,SI,--,SI,SI,SI,SI,82007010,-32.7846557,-61.60548188
SANTA FE,Belgrano,Bouquet,1230,SI,--,--,--,--,SI,SI,--,SI,82007020,-32.42479986,-61.89033459
SANTA FE,Belgrano,Las Parejas,12375,SI,--,--,SI,--,SI,SI,SI,SI,82007030,-32.68268426,-61.51857983
SANTA FE,Belgrano,Las Rosas,13068,SI,SI,--,SI,--,SI,SI,SI,SI,82007040,-32.47857682,-61.57480368
SANTA FE,Belgrano,Montes de Oca,2655,SI,--,--,SI,SI,SI,SI,--,SI,82007050,-32.56799702,-61.76807624
SANTA FE,Belgrano,Tortugas,2234,SI,SI,--,--,SI,--,SI,SI,SI,82007060,-32.74829826,-61.82033593
SANTA FE,Caseros,Arequito,6533,SI,SI,--,--,--,--,SI,SI,SI,82014010,-33.14830084,-61.47133493
SANTA FE,Caseros,Arteaga,3089,SI,SI,--,--,--,SI,SI,SI,SI,82014020,-33.09113112,-61.79171139
SANTA FE,Caseros,Beravebú,2225,--,--,--,--,--,SI,SI,SI,SI,82014030,-33.34141522,-61.86228098
SANTA FE,Caseros,Bigand,4939,SI,SI,--,--,--,--,SI,SI,SI,82014040,-33.3761183,-61.18550131
SANTA FE,Caseros,Casilda,34703,SI,SI,--,SI,--,SI,SI,SI,SI,82014050,-33.04249555,-61.16933112
SANTA FE,Caseros,Chabás,6871,SI,--,--,SI,--,SI,SI,SI,SI,82014060,-33.24706746,-61.35759356
SANTA FE,Caseros,Chañar Ladeado,5415,SI,SI,--,SI,--,--,SI,SI,SI,82014070,-33.32584098,-62.03864967
SALTA,San Carlos,San Carlos,2209,--,--,--,SI,SI,SI,SI,--,SI,66154040,-25.89544965,-65.93741155
SALTA,Santa Victoria,Acoyte,60,--,--,--,--,--,SI,--,--,--,66161010,-22.26257081,-64.99934259
SALTA,Santa Victoria,Campo La Cruz,195,--,--,--,--,--,--,--,--,--,66161020,-22.42822668,-65.14540497
SALTA,Santa Victoria,Los Toldos,1002,--,--,--,SI,--,SI,SI,--,--,66161030,-22.2528953,-64.68166766
SALTA,Santa Victoria,Nazareno,916,--,--,--,SI,--,--,SI,--,--,66161040,-22.48185445,-65.09497334
SALTA,Santa Victoria,Poscaya,367,--,--,--,--,--,--,--,--,--,66161050,-22.43362661,-65.06789571
SALTA,Santa Victoria,San Marcos,171,--,--,--,--,--,--,--,--,--,66161060,-22.50900545,-65.10124238
SALTA,Santa Victoria,Santa Victoria,1151,--,--,--,SI,SI,SI,--,--,--,66161070,-22.2294615,-64.95032555
SAN JUAN,25 de Mayo,Campo Afuera,0,--,--,--,--,--,--,--,--,--,70126010,-31.41653298,-68.53161434
SAN JUAN,25 de Mayo,El Encón,524,--,--,--,--,--,--,--,--,SI,70126010,-32.21637335,-67.7930571
SAN JUAN,25 de Mayo,La Chimbera,0,--,--,--,--,--,--,--,--,--,70126010,-31.85055145,-68.30946175
SAN JUAN,25 de Mayo,Tupelí,1169,--,--,--,--,--,SI,--,--,--,70126020,-31.83903157,-68.35739412
SAN JUAN,25 de Mayo,Villa Borjas,0,--,--,--,--,--,SI,--,--,--,70126010,-31.81000725,-68.32896231
SAN JUAN,25 de Mayo,Villa Borjas - La Chimbera,5275,--,--,--,--,--,SI,SI,--,--,70126030,-31.81000725,-68.32896231
SAN JUAN,25 de Mayo,Villa El Tango,1367,--,--,--,--,--,--,--,--,--,70126040,-31.76326892,-68.22229664
SAN JUAN,25 de Mayo,Villa Santa Rosa,3460,--,--,--,--,--,SI,SI,SI,SI,70126050,-31.74480854,-68.31424123
SAN JUAN,9 de Julio,9 de Julio,3484,--,--,--,SI,SI,SI,SI,SI,SI,70063040,-31.66975092,-68.39004164
SAN JUAN,9 de Julio,Alto de Sierra,499,--,--,--,--,--,SI,--,SI,SI,70063010,-31.55517859,-68.42059874
SAN JUAN,9 de Julio,Colonia Fiorito,384,--,--,--,--,--,SI,--,--,--,70063020,-31.55517859,-68.42059874
SAN JUAN,9 de Julio,Las Chacritas,2760,--,--,--,--,--,SI,--,--,SI,70063030,-31.59364179,-68.40771967
MISIONES,Oberá,Barrio Escuela 633,719,--,--,--,--,--,--,--,SI,SI,54091017,-27.46899335,-55.0771065
MISIONES,Oberá,Campo Ramón,1235,--,SI,--,SI,SI,--,SI,--,SI,54091020,-27.45227009,-55.02373524
MISIONES,Oberá,Campo Viera,7099,--,--,--,SI,--,SI,SI,--,SI,54091030,-27.33105588,-55.05285482
MISIONES,Oberá,El Salto,207,--,--,--,--,--,--,--,--,SI,54091040,-27.49173344,-55.19896081
MISIONES,Oberá,General Alvear,130,--,--,--,SI,--,--,--,--,SI,54091050,-27.42286672,-55.17027097
MISIONES,Oberá,Guaraní,2824,SI,--,--,SI,--,--,SI,SI,SI,54091060,-27.52033175,-55.16136348
MISIONES,Oberá,Los Helechos,344,--,--,--,SI,--,--,--,--,SI,54091070,-27.55318532,-55.07782277
MISIONES,Oberá,Oberá,63960,SI,SI,--,SI,--,--,SI,SI,SI,54091080,-27.48165594,-55.12515469
MISIONES,Oberá,Panambí,700,--,--,--,SI,--,--,SI,--,--,54091090,-27.71851512,-54.91837082
MISIONES,Oberá,Panambi Kilómetro 15,163,--,--,--,--,--,--,--,--,SI,54091105,-27.70433051,-54.96643198
MISIONES,Oberá,Panambí Kilómetro 8,1422,--,--,--,SI,--,--,--,--,SI,54091100,-27.66316063,-54.98465172
MISIONES,Oberá,San Martín,815,--,--,--,SI,--,--,SI,--,SI,54091110,-27.4618129,-55.27834407
MISIONES,Oberá,Villa Bonita,1664,--,SI,--,SI,--,--,SI,--,SI,54091120,-27.4796993,-54.9639234
MISIONES,San Ignacio,Barrio Tungoil,199,--,--,--,--,--,--,--,--,--,54098005,-27.10775685,-55.38811514
MISIONES,San Ignacio,Colonia Polana,109,--,--,--,--,--,SI,--,--,SI,54098010,-26.9810475,-55.31706855
MISIONES,San Ignacio,Corpus,2475,--,--,--,--,--,SI,SI,--,SI,54098020,-27.12780388,-55.50941793
MISIONES,San Ignacio,Domingo Savio,307,--,--,--,--,--,--,--,--,--,54098030,-27.35468758,-55.3368345
SANTA FE,Rosario,Coronel Rodolfo S. Domínguez,796,--,SI,--,--,--,--,SI,SI,SI,82084100,-33.18547601,-60.72286333
SANTA FE,Rosario,Cuatro Esquinas,174,--,--,--,SI,--,--,--,--,--,82084110,-33.24662289,-60.76497402
SANTA FE,Rosario,El Caramelo,155,SI,--,--,SI,--,--,SI,--,--,82084120,-33.1288734,-60.71303944
SANTA FE,Rosario,Fighiera,4034,SI,--,--,--,--,SI,SI,SI,SI,82084130,-33.19501878,-60.47060385
SANTA FE,Rosario,Funes,23281,SI,SI,--,SI,SI,SI,SI,SI,SI,82084140,-32.92278278,-60.81218028
SANTA FE,Rosario,General Lagos,3419,SI,--,--,SI,SI,SI,SI,SI,SI,82084150,-33.11215889,-60.56657378
SANTA FE,Rosario,Granadero Baigorria,36994,--,SI,--,SI,--,SI,SI,SI,SI,82084160,-32.86136417,-60.70621598
SANTA FE,Rosario,Ibarlucea,3698,--,SI,--,SI,--,SI,SI,SI,SI,82084170,-32.85125613,-60.78849366
SANTA FE,Rosario,Kilómetro 101,36,--,--,--,--,SI,SI,--,SI,SI,82084180,-33.0605848,-60.68564401
SANTA FE,Rosario,Los Muchachos - La Alborada,129,--,--,--,--,--,--,--,--,--,82084190,-33.09157341,-60.73542543
SANTA FE,Rosario,Monte Flores,166,SI,--,--,SI,--,--,--,SI,SI,82084200,-33.0800074,-60.63552267
SANTA FE,San Cristóbal,Santurce,32,--,--,--,--,--,SI,--,--,--,82091240,-30.18664527,-61.17852802
BUENOS AIRES,Arrecifes,Arrecifes,26400,SI,SI,SI,SI,SI,SI,SI,SI,SI,6077010,-34.06459112,-60.10255644
BUENOS AIRES,Arrecifes,Todd,732,--,--,--,SI,--,--,SI,SI,SI,6077020,-34.03282405,-60.15622701
BUENOS AIRES,Arrecifes,Viña,464,SI,SI,--,--,--,--,--,SI,SI,6077030,-33.99227652,-60.22632112
BUENOS AIRES,Avellaneda,Area Reserva Cinturón Ecológico,3550,--,--,--,--,--,--,--,SI,SI,6035010,-34.67500565,-58.31056342
BUENOS AIRES,Avellaneda,Avellaneda,25325,SI,SI,SI,SI,SI,SI,SI,SI,SI,6035010,-34.66265081,-58.36569902
BUENOS AIRES,Avellaneda,Crucesita,22745,--,SI,--,SI,--,--,SI,SI,SI,6035010,-34.66910587,-58.35745444
BUENOS AIRES,Avellaneda,Dock Sud,37392,SI,SI,--,SI,--,SI,SI,SI,SI,6035010,-34.64912669,-58.34117748
BUENOS AIRES,Avellaneda,Gerli,32384,--,SI,--,SI,--,--,SI,SI,SI,6035010,-34.68476375,-58.37260255
BUENOS AIRES,General Viamonte,Los Toldos,14496,SI,--,SI,SI,--,SI,SI,SI,SI,6385030,-35.00103657,-61.03814979
BUENOS AIRES,General Viamonte,San Emilio,142,--,--,--,--,--,--,--,--,--,6385040,-35.0319914,-60.86476859
BUENOS AIRES,General Viamonte,Zavalía,327,--,--,--,--,--,SI,SI,--,--,6385050,-34.89492088,-61.00445382
BUENOS AIRES,General Villegas,Banderaló,1339,--,--,--,--,SI,--,--,SI,SI,6392010,-35.01246666,-63.37415635
BUENOS AIRES,General Villegas,Cañada Seca,718,--,--,--,--,--,--,--,--,SI,6392020,-34.41550546,-62.96185538
BUENOS AIRES,General Villegas,Coronel Charlone,1348,SI,--,--,SI,SI,--,SI,SI,SI,6392030,-34.67299456,-63.37244548
BUENOS AIRES,General Villegas,Emilio V. Bunge,1986,--,--,--,--,SI,--,SI,SI,SI,6392040,-34.77983283,-63.19609649
BUENOS AIRES,General Villegas,General Villegas (Est. Villegas),18275,SI,--,--,SI,SI,SI,SI,SI,SI,6392050,-35.03384199,-63.01466371
BUENOS AIRES,General Villegas,Massey (Est. Elordi),63,--,--,--,--,--,--,--,--,--,6392060,-35.04908923,-63.12188768
BUENOS AIRES,General Villegas,Pichincha,18,--,--,--,--,SI,--,--,--,--,6392070,-34.58045167,-62.35163952
BUENOS AIRES,General Villegas,Piedritas,2160,SI,--,--,SI,SI,SI,SI,SI,SI,6392080,-34.77110454,-62.98469658
BUENOS AIRES,General Villegas,Santa Eleodora,293,--,--,--,--,--,--,SI,--,SI,6392090,-34.69211801,-62.69579327
BUENOS AIRES,General Villegas,Santa Regina,554,--,SI,--,--,--,--,SI,--,SI,6392100,-34.54833566,-63.17327287
BUENOS AIRES,Puán,Azopardo,95,--,--,--,--,--,--,--,--,--,6651010,-37.70179205,-62.90067644
BUENOS AIRES,Puán,Bordenave,852,--,--,--,SI,SI,SI,SI,--,--,6651020,-37.80281816,-63.0425144
BUENOS AIRES,Puán,Darregueira,5547,SI,SI,SI,SI,--,SI,SI,SI,SI,6651030,-37.68575626,-63.15956639
BUENOS AIRES,Puán,Estela,2,--,--,--,--,--,--,--,--,SI,6651050,-38.10809501,-62.91290414
BUENOS AIRES,Puán,Felipe Solá,626,--,--,--,--,--,--,SI,--,SI,6651060,-38.00599283,-62.81869367
BUENOS AIRES,Puán,López Lecube,32,--,--,--,--,--,--,--,--,--,6651070,-38.11711901,-62.72548494
BUENOS AIRES,Puán,Puán,4743,--,SI,--,SI,SI,SI,SI,SI,SI,6651080,-37.5426135,-62.76522757
BUENOS AIRES,Puán,San Germán,152,--,--,--,--,--,SI,SI,--,--,6651090,-38.29951836,-62.98218771
BUENOS AIRES,Puán,Villa Castelar (Est. Erize),31,--,--,--,--,--,--,SI,--,--,6651100,-37.39054649,-62.80513257
BUENOS AIRES,Puán,Villa Iris,1858,--,--,--,SI,--,SI,SI,SI,SI,6651110,-38.16930971,-63.23205118
BUENOS AIRES,Punta Indio,Alvarez Jonte,38,--,--,--,--,--,--,--,--,--,6655010,-35.32278001,-57.44907685
BUENOS AIRES,Punta Indio,Las Tahonas,0,--,--,--,--,--,--,--,--,--,6655040,-35.35487546,-57.38220457
BUENOS AIRES,Punta Indio,Pipinas,954,--,SI,--,--,--,--,SI,SI,SI,6655030,-35.53126707,-57.32858876
BUENOS AIRES,Punta Indio,Punta Indio,569,--,--,--,--,--,SI,SI,--,--,6655040,-35.28083529,-57.23600724
BUENOS AIRES,Punta Indio,Verónica,6546,SI,SI,--,SI,--,--,SI,SI,SI,6655050,-35.38815521,-57.33716016
BUENOS AIRES,Quilmes,Bernal,37547,SI,SI,SI,SI,SI,--,SI,SI,SI,6658010,-34.70037841,-58.27664278
BUENOS AIRES,Quilmes,Bernal Oeste,85959,SI,SI,SI,SI,--,--,SI,SI,SI,6658010,-34.72696442,-58.31827956
BUENOS AIRES,Quilmes,Don Bosco,23458,--,SI,--,SI,--,--,SI,SI,SI,6658010,-34.70321302,-58.29845332
BUENOS AIRES,Quilmes,Ezpeleta,55274,SI,SI,SI,SI,--,SI,SI,SI,SI,6658010,-34.74356444,-58.22814084
BUENOS AIRES,Quilmes,Ezpeleta Oeste,26256,SI,SI,SI,SI,--,--,SI,SI,SI,6658010,-34.76344421,-58.26383144
BUENOS AIRES,Quilmes,Quilmes,125373,SI,SI,SI,SI,SI,SI,SI,SI,SI,6658010,-34.72413447,-58.24922055
MENDOZA,Tupungato,El Zampal,177,--,--,--,--,--,--,--,--,SI,50126035,-33.39895005,-69.10573672
CABA,COMUNA 13,NUÑEZ,51949,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.54373766,-58.46285755
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,7509,SI,SI,--,SI,SI,SI,--,SI,SI,22098010,-27.68257116,-60.90919563
CHACO,Mayor Luis J. Fontana,Enrique Urién,515,--,--,--,SI,--,--,--,--,--,22098020,-27.55872515,-60.52599075
CHACO,Mayor Luis J. Fontana,Villa Angela,41403,SI,--,--,SI,--,SI,SI,SI,SI,22098030,-27.57885924,-60.71411201
CHACO,O Higgins,La Clotilde,3382,--,--,--,--,--,--,--,--,SI,22112010,-27.17819934,-60.63157418
CHACO,O Higgins,La Tigra,2866,--,--,--,--,--,--,--,--,SI,22112020,-27.11578998,-60.58989417
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,54,--,--,--,--,--,SI,--,--,--,26007050,-42.6456159,-65.06472297
CHUBUT,Cushamen,Buenos Aires Chico,253,--,--,--,--,--,--,--,--,--,26014010,-42.06879613,-71.21583431
CHUBUT,Cushamen,Cholila,1658,--,--,SI,--,SI,--,SI,SI,SI,26014020,-42.51053136,-71.43515483
CHUBUT,Cushamen,Costa del Chubut,56,--,--,--,--,--,--,--,--,--,26014025,-42.60162558,-70.45757373
CHUBUT,Cushamen,Cushamen Centro,740,--,--,--,--,--,--,SI,--,--,26014030,-42.1766611,-70.66261884
CHUBUT,Cushamen,El Hoyo,1477,SI,--,--,SI,--,SI,SI,--,--,26014040,-42.06796666,-71.52067084
CHUBUT,Cushamen,El Maitén,4011,--,--,--,--,--,SI,SI,--,--,26014050,-42.05428544,-71.16731533
CHUBUT,Cushamen,Epuyén,1038,SI,--,--,--,--,--,SI,--,SI,26014060,-42.23292471,-71.36950666
CHUBUT,Cushamen,Fofo Cahuel,67,--,--,--,--,--,--,--,--,--,26014065,-42.391062,-70.57807844
CHUBUT,Cushamen,Gualjaina,1183,--,--,--,--,SI,--,SI,--,--,26014070,-42.72675789,-70.53548761
